City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Port Lincoln,AU,-34.7333,135.8667,60.24,80,99,11.59,light rain
198,Yulara,AU,-25.2406,130.9889,60.64,51,0,3.44,clear sky
199,Moron,AR,-34.6534,-58.6198,69.96,66,100,5.46,overcast clouds
200,Kirakira,SB,-10.4544,161.9205,82.15,76,84,7.34,broken clouds
201,Kisangani,CD,0.5167,25.2,73.31,75,30,2.04,scattered clouds
202,Yeppoon,AU,-23.1333,150.7333,67.78,82,75,11.52,broken clouds
203,Khandyga,RU,62.6667,135.6,13.3,93,100,3.69,overcast clouds
204,Jambi,ID,-1.6,103.6167,74.17,98,94,0.89,overcast clouds
205,Skjervoy,NO,70.0311,20.9714,39.2,94,100,9.42,overcast clouds
206,Arlit,NE,18.7369,7.3853,79.74,11,97,6.2,overcast clouds
207,Hoquiam,US,46.9809,-123.8893,57.43,55,92,5.99,overcast clouds
208,Wanxian,CN,30.8039,108.3897,53.08,95,100,1.97,overcast clouds
209,Perpignan,FR,42.75,2.75,65.84,48,0,13.8,clear sky
210,College,US,64.8569,-147.8028,36.46,26,0,11.5,clear sky
211,Luanda,AO,-8.8368,13.2343,77.41,90,100,9.69,light rain
212,Lujan,AR,-34.5703,-59.105,69.51,58,100,7.94,overcast clouds
213,Poltsamaa,EE,58.6525,25.9706,35.17,77,96,2.19,overcast clouds
214,Chimore,BO,-16.9833,-65.1333,70.39,76,90,1.16,overcast clouds
215,Ayan,RU,56.45,138.1667,22.69,82,83,5.3,broken clouds
216,Itaituba,BR,-4.2761,-55.9836,89.76,66,20,2.3,few clouds
217,Lagoa,PT,39.05,-27.9833,57.11,66,32,14.16,scattered clouds
218,Kroya,ID,-7.6331,109.2461,78.8,87,100,1.99,overcast clouds
219,San Patricio,US,28.017,-97.5169,87.08,52,21,14.97,few clouds
220,Beckley,US,37.7782,-81.1882,62.49,28,100,1.99,overcast clouds
221,Egvekinot,RU,66.3167,-179.1667,24.85,85,99,13.49,overcast clouds
222,Banyo,CM,6.75,11.8167,72.21,77,91,1.59,overcast clouds
223,Aswan,EG,24.0934,32.907,94.3,9,0,9.22,clear sky
224,Nouadhibou,MR,20.931,-17.0347,66.18,88,0,9.22,clear sky
225,Zhuhai,CN,22.2769,113.5678,71.38,78,40,5.75,scattered clouds
226,Lorengau,PG,-2.0226,147.2712,81.81,80,42,7.38,scattered clouds
227,Preobrazheniye,RU,42.9019,133.9064,39.38,91,39,5.19,scattered clouds
228,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,76.77,42,0,2.21,clear sky
229,Catabola,AO,-12.15,17.2833,62.11,93,100,2.86,overcast clouds
230,Trebur,DE,49.9311,8.4161,53.78,39,0,4.61,clear sky
231,Sitka,US,57.0531,-135.33,44.22,55,100,2.77,overcast clouds
232,Duobao,CN,30.67,112.6895,51.19,85,100,5.26,overcast clouds
233,Quchan,IR,37.106,58.5095,43.72,91,100,7.02,overcast clouds
234,Taltal,CL,-25.4,-70.4833,64.71,71,22,5.26,few clouds
235,Khatanga,RU,71.9667,102.5,5.9,95,99,12.35,overcast clouds
236,Radhanpur,IN,23.8333,71.6,81.21,55,3,13.11,clear sky
237,Tevriz,RU,57.509,72.4042,29.48,95,52,3.91,broken clouds
238,Tual,ID,-5.6667,132.75,83.86,73,100,11.5,overcast clouds
239,Lagos,NG,6.5833,3.75,79.12,89,100,3.87,light rain
240,Portland,US,45.5234,-122.6762,60.62,44,75,9.22,broken clouds
241,Thunder Bay,CA,48.4001,-89.3168,28.38,74,100,10.36,overcast clouds
242,Carlet,ES,39.2333,-0.5167,63.55,81,74,4.0,broken clouds
243,Naze,JP,28.3667,129.4833,63.52,61,76,4.92,broken clouds
244,Gongzhuling,CN,43.5008,124.8198,40.5,34,62,6.2,broken clouds
245,Calabozo,VE,8.9242,-67.4293,83.39,57,100,6.67,overcast clouds
