City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
241,Erdenet,MN,2022-04-16 12:31:25,49.0333,104.0833,37.63,49,79,1.97
242,Meulaboh,ID,2022-04-16 12:31:25,4.1363,96.1285,81.21,79,24,1.74
243,Hamilton,US,2022-04-16 12:31:26,39.1834,-84.5333,54.99,87,100,10.36
244,Ampanihy,MG,2022-04-16 12:31:26,-24.7,44.75,88.48,43,71,16.17
245,Kenmore,US,2022-04-16 12:27:21,47.7573,-122.244,40.53,86,0,4.61
246,Kyra,RU,2022-04-16 12:31:26,49.5776,111.9753,36.75,68,33,6.29
247,Laguna,US,2022-04-16 12:31:27,38.421,-121.4238,55.9,88,100,10.36
248,Colwyn Bay,GB,2022-04-16 12:27:58,53.2948,-3.7267,67.21,64,99,1.99
249,Georgetown,MY,2022-04-16 12:30:17,5.4112,100.3354,85.98,79,20,7.0
250,Plouzane,FR,2022-04-16 12:31:27,48.3833,-4.6167,71.78,58,0,4.61
251,Dakoro,NE,2022-04-16 12:31:28,14.5106,6.765,103.1,13,100,13.31
252,Mezocsat,HU,2022-04-16 12:31:28,47.8167,20.9167,48.61,71,97,25.75
253,Esperance,AU,2022-04-16 12:31:28,-33.8667,121.9,64.24,78,100,13.56
254,Fomboni,KM,2022-04-16 12:31:29,-12.28,43.7425,84.65,70,0,5.26
255,Huanren,CN,2022-04-16 12:31:29,41.2647,125.3667,49.86,39,0,3.38
256,Nome,US,2022-04-16 12:31:29,64.5011,-165.4064,32.16,80,100,19.57
257,Birjand,IR,2022-04-16 12:31:30,32.8663,59.2211,84.67,10,20,13.8
258,Amnat Charoen,TH,2022-04-16 12:31:30,15.9167,104.75,86.59,55,19,7.83
259,Copiapo,CL,2022-04-16 12:31:30,-27.3667,-70.3333,62.53,59,0,1.3
260,Mukhen,RU,2022-04-16 12:31:31,48.1,136.1,39.02,74,99,9.82
261,Senneterre,CA,2022-04-16 12:31:31,48.3835,-77.2328,24.69,80,100,10.07
262,Arman,RU,2022-04-16 12:31:31,59.7,150.1667,14.02,83,18,7.76
263,Villarrica,PY,2022-04-16 12:31:32,-25.75,-56.4333,64.17,62,0,2.82
264,Dalbandin,PK,2022-04-16 12:31:32,28.8947,64.4101,96.44,7,96,12.1
265,Shelopugino,RU,2022-04-16 12:31:32,51.6514,117.5599,26.31,66,37,2.62
266,Vila,PT,2022-04-16 12:31:33,42.0304,-8.1588,67.69,59,84,3.24
267,Sitka,US,2022-04-16 12:26:59,57.0531,-135.33,33.69,75,40,4.61
268,Paita,PE,2022-04-16 12:31:33,-5.0892,-81.1144,68.05,81,95,11.36
269,Sarangani,PH,2022-04-16 12:31:33,5.4033,125.4636,82.29,70,72,2.19
270,Normandin,CA,2022-04-16 12:31:34,48.8333,-72.5321,34.11,69,8,16.11
271,Jian,CN,2022-04-16 12:31:34,27.1172,114.9793,51.06,92,100,6.64
272,Pavilosta,LV,2022-04-16 12:31:34,56.8879,21.1859,44.51,68,100,15.68
273,Kushtagi,IN,2022-04-16 12:31:35,15.7667,76.2,86.67,37,45,16.2
274,Shimoda,JP,2022-04-16 12:31:35,34.6667,138.95,52.11,77,100,6.29
275,Husavik,IS,2022-04-16 12:31:35,66.0449,-17.3389,45.3,78,100,14.88
276,Kruisfontein,ZA,2022-04-16 12:31:36,-34.0033,24.7314,62.89,65,99,13.58
